source,label,rules,sentence
Zordan (fiume),venetian,template_boilerplate,"Jordan RiverEnçiclopedia Britannica, Encyclopædia Britannica, Inc."
Klemens von Metternich,lombard,template_boilerplate,"London: Weidenfeld & Nicolson, 1999."
Joan Fuster,neapolitan,template_boilerplate,"València, Lo Rat Penat, 1957."
Gabriella Pession,venetian,template_boilerplate,"Gabriella PessionAllMovie, All Media Network."
Gabriella Pession,venetian,template_boilerplate,"Gabriella PessionRotten Tomatoes, Flixster Inc."
Tanacetum balsamita,lombard,template_boilerplate,"Oxford University Press, New York."
H.P. Lovecraft,standard,template_boilerplate,"Adriano Monti Buzzetti Colella, Oscure Radici."
Gana,venetian,template_boilerplate,"GhanaEnçiclopedia Britannica, Encyclopædia Britannica, Inc."
Gabriele Falloppio,venetian,template_boilerplate,"Gabriel FallopiusEnçiclopedia Britannica, Encyclopædia Britannica, Inc."
Achberg,piedmontese,template_boilerplate,"Achberg a l'é na comun-a dl'Almagna, ant ël distret ëd Ravensburg, ant la region aministrativa ëd Tubinga, stat dël Baden-Württemberg."
Achim,piedmontese,template_boilerplate,A aparten al Samtgemeinde  ëd Oderwald.
Achstetten,piedmontese,template_boilerplate,"Achstetten a l'é na comun-a dl'Almagna, ant ël distret ëd Biberach, ant la region aministrativa ëd Tubinga, stat dël Baden-Württemberg."
Adelberg,piedmontese,template_boilerplate,"Adelberg a l'é na comun-a dl'Almagna, ant ël distret ëd Göppingen, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Adelebsen,piedmontese,template_boilerplate,"Adelebsen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Göttingen, stat dla Bassa Sassònia."
Adelheidsdorf,piedmontese,template_boilerplate,"Adelheidsdorf a l'é un munissipi dl'Almagna localisà ant ël distret ëd Celle, stat dla Bassa Sassònia."
Adelheidsdorf,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Wathlingen.
Adenbüttel,piedmontese,template_boilerplate,"Adenbüttel a l'é un munissipi dl'Almagna localisà ant ël distret ëd Gifhorn, stat dla Bassa Sassònia."
Adenbüttel,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Papenteich.
Adendorf,piedmontese,template_boilerplate,"Adendorf a l'é un munissipi dl'Almagna localisà ant ël distret ëd Lüneburg, stat dla Bassa Sassònia."
Adenstedt,piedmontese,template_boilerplate,"Adenstedt a l'é un munissipi dl'Almagna localisà ant ël distret ëd Hildesheim, stat dla Bassa Sassònia."
Adenstedt,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Sibbesse.
Aeropòrt_ëd_Atlanta_Hartsfield-Jackson,piedmontese,template_boilerplate,L'antërnassional Maynard H. Jackson Jr.
Affalterbach,piedmontese,template_boilerplate,"Affalterbach a l'é na comun-a dl'Almagna, ant ël distret ëd Ludwigsburg, ant la region aministrativa ëd Stocarda, stat dël Baden-Württemberg."
Affinghausen,piedmontese,template_boilerplate,"Affinghausen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Diepholz, stat dla Bassa Sassònia."
Affinghausen,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Schwaförden.
Agathenburg,piedmontese,template_boilerplate,"Agathenburg a l'é un munissipi dl'Almagna localisà ant ël distret ëd Stade, stat dla Bassa Sassònia."
Agathenburg,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Horneburg.
Agensìa_Spassial_Europenga,piedmontese,citation_shape,L'ESA a l'é stàita creà ai 31 ëd magg dël 1975 da la fusion ëd doi organisassion preesistente: l'ELDO (European Launcher Development Organisation) e l'ESRO (European Space Research Organisation).
Ahausen,piedmontese,template_boilerplate,"Ahausen a l'é un munissipi dl'Almagna localisà ant ël distret ëd Rotenburg, stat dla Bassa Sassònia."
Ahausen,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Sottrum.
Ahlden,piedmontese,template_boilerplate,"Ahlden a l'é un munissipi dl'Almagna localisà ant ël distret ëd Heidekreis, stat dla Bassa Sassònia."
Ahlden,piedmontese,template_boilerplate,A aparten al Samtgemeinde ëd Ahlden.
Ahlerstedt,piedmontese,template_boilerplate,"Ahlerstedt a l'é un munissipi dl'Almagna localisà ant ël distret ëd Stade, stat dla Bassa Sassònia."
