sentence,label,source
"Verba volant, scripta manent.",other,tatoeba:lat
"Acta, non verba.",other,tatoeba:lat
Ars gratia artis.,other,tatoeba:lat
De gustibus non est disputandum.,other,tatoeba:lat
Bonum est fugienda aspicere in alieno malo.,other,tatoeba:lat
"Qui tacet, consentire videtur.",other,tatoeba:lat
Nihil novi sub sole.,other,tatoeba:lat
Barba non facit philosophum.,other,tatoeba:lat
Epistula non erubescit.,other,tatoeba:lat
O dulce nomen libertatis!,other,tatoeba:lat
Alea iacta est.,other,tatoeba:lat
"Laudamus veteres, sed nostris utimur annis.",other,tatoeba:lat
Finis coronat opus.,other,tatoeba:lat
"Non vitae, sed scholae discimus.",other,tatoeba:lat
"Non scholae, sed vitae discimus.",other,tatoeba:lat
Omnes homines aequales sunt.,other,tatoeba:lat
Scio me nihil scire.,other,tatoeba:lat
In dubio pro reo.,other,tatoeba:lat
"Quod licet Iovi, non licet bovi.",other,tatoeba:lat
"Si vis amari, ama!",other,tatoeba:lat
"Veni, vidi, vici.",other,tatoeba:lat
"Ars longa, vita brevis.",other,tatoeba:lat
Audaces fortuna iuvat.,other,tatoeba:lat
Consuetudinis vis magna est.,other,tatoeba:lat
"Dum spiro, spero.",other,tatoeba:lat
Memento quia pulvis es.,other,tatoeba:lat
"Qualis pater, talis filius.",other,tatoeba:lat
Heus! Quid novi?,other,tatoeba:lat
Pecunia non olet.,other,tatoeba:lat
Ora et labora.,other,tatoeba:lat
Mihi cura futuri.,other,tatoeba:lat
Manus manum lavat.,other,tatoeba:lat
Post mortem nihil est.,other,tatoeba:lat
Homines quod volunt credunt.,other,tatoeba:lat
Audiatur et altera pars.,other,tatoeba:lat
Vanitas vanitatum et omnia vanitas.,other,tatoeba:lat
Historia vitae magistra.,other,tatoeba:lat
Homo homini lupus est.,other,tatoeba:lat
Dulce et decorum est pro patria mori.,other,tatoeba:lat
"Amicus Plato, sed magis amica veritas.",other,tatoeba:lat
"Duo cum faciunt idem, non est idem.",other,tatoeba:lat
"Cogito, ergo sum.",other,tatoeba:lat
Piscēs in aquā vīvunt.,other,tatoeba:lat
Dimidium facti qui coepit habet.,other,tatoeba:lat
"Quod cibus est aliis, aliis est venenum.",other,tatoeba:lat
"Arbor mala, māla mala.",other,tatoeba:lat
Argumentati sunt eum mentitum esse.,other,tatoeba:lat
Quod erat demonstrandum.,other,tatoeba:lat
Parva scintilla saepe magnam flammam excitat.,other,tatoeba:lat
"Justitia est constans et perpetua voluntas jus suum cuique tribuens. Jurisprudentia est divinarum atque humanarum rerum notitia, justi atque injusti scientia.",other,tatoeba:lat
"Veni Carthaginem, et circumstrepebat me undique sartago flagitiosorum amorum.",other,tatoeba:lat
Lupus in fabula.,other,tatoeba:lat
"Ama me, ama canem meum.",other,tatoeba:lat
«Habesne pennam?» — «Habeo».,other,tatoeba:lat
"Pecunia mihi non est, sed opiniones sunt.",other,tatoeba:lat
"Aes non habeo, sed somnia habeo.",other,tatoeba:lat
Nec Caesar suprā grammaticōs.,other,tatoeba:lat
Caesar nōn suprā grammaticōs.,other,tatoeba:lat
Nōn Caesar suprā grammaticōs.,other,tatoeba:lat
Leopolin ire volo...,other,tatoeba:lat
Homo proponit sed Deus disponit.,other,tatoeba:lat
"""Is heri epistulam scripsitne?"" ""Scripsit.""",other,tatoeba:lat
Ubi est latrina?,other,tatoeba:lat
Japonia plaga industrialis est.,other,tatoeba:lat
