sentence,label,source
"E paradisu nuddu, chiù nn'accanza!",sicilian,Centona/Curigghiara
"'U vinistuu a circari, è veru? No.... a me' casa è!",sicilian,'a vilanza/Atto II
"E chi s' 'a pigghia supra 'u seriu, lei?",sicilian,Cappiddazzu paga tuttu/Atto III
"- E a mia, vui, non ci aviti pinsatu?",sicilian,'a vilanza/Atto II
"Cci voli fari sfreggiu, 'ssu basalacchiu? (_si alza tronfio_)--Iamuninni, zâ Prazzita, mi permetti ca 'a chiamu Cci permettu?",sicilian,Cappiddazzu paga tuttu/Atto I
Chi mi nni 'mporta d'iddu.... d'idda!....,sicilian,'a vilanza/Atto I
"'Pp'accurzari, fici corpu 'ntra 'n ciancu, e accumparìu... di 'na manera ca facìa scantari!...",sicilian,Centona/La 'atta
"Quannu t'affacci arreri 'ssa vitrina, carma Libici e carma Tramuntana, quantu 'ntra mari c'è coccia di rina, tanti biddizzi nn'hai, fata bagiana.",sicilian,Centona/Fimmini beddi
Già... mi dissiru ca siti tantu affannatu circannu casa.,sicilian,Cappiddazzu paga tuttu/Atto I
"Megghiu morta, ca fari chissu!",sicilian,'a vilanza/Atto II
"Pirchì, scusati, a vulirla diri com'è di giustu, è cosa di mittilla 'nta un quatru 'ssa parti ca m'aviti fattu...",sicilian,Cappiddazzu paga tuttu/Atto II
"Quantu a Rachilina, prima di tuttu, vi ripetu, ca pi mia mancu esisteva; e poi, una vota ca nni parrati, si vi parsi assai, vi ricurdati?... la differenza d'età tra mia e Tidda; com'è ca ora cca cu Paulinu...",sicilian,Cappiddazzu paga tuttu/Atto I
"nell'attu ca iu rendo un serviziu a costo di comprumettirimi, mi si gioca questo tiro alle spalle?",sicilian,Cappiddazzu paga tuttu/Atto I
Chi macari a vui (_seccato_)--Ma 'nsumma!,sicilian,Cappiddazzu paga tuttu/Atto II
"... (atterrita) - Ah, non vi basta chiddu c'aviti fattu di mia?",sicilian,'a vilanza/Atto III
"E chissu è: ca quannu unu parti sapi cos'è e po', quannu arriva, non si Vattinni ddà banna, vasinnò ti fazzu a vidiri 'na cosa, ca quannu parti vidi cos'è e quannu t'arriva senti com'è (_poi voltandosi alla cugina_) Eh si..",sicilian,Cappiddazzu paga tuttu/Atto I
"Mi desi 'i carti... (battendosi una mano aperta sulla fronte) - Oh, a propositu!...",sicilian,'a vilanza/Atto II
E dissi ca eri bona pi faricci 'u pani cottu!,sicilian,Cappiddazzu paga tuttu/Atto I
"Ma iu 'nu statu, cucinu, iva circannu oramai, pi non moriri sula 'nta 'n'agnuni!",sicilian,Cappiddazzu paga tuttu/Atto I
"Cummari, 'a vuliti fari 'na cosa bona?...",sicilian,'a vilanza/Atto I
"Chiddu si vota, di sutta 'u fadali, idda, nesci 'n'augghia 'i matarazzu e chianta 'n corpu ca mancu un pugnali!...",sicilian,Centona/La 'atta
"(_a Rachilina_)--Tu non eri mancu in mente Dei, figghia, l'urtima vota ca nni vittimu cu to' zia cca.... (_turbata e seccata dal ricordo_)--Acqua passata...",sicilian,Cappiddazzu paga tuttu/Atto I
"Non l'ha' vistu, ah, non l'ha' nutatu oggi, c'ha passatu morti e passioni, a tavula, vidennu a mia e a tia comu du' 'mbriachi?... (riafferrandolo c. s.) - Si, 'mbriachi!....",sicilian,'a vilanza/Atto I
"mi pari ca me' maritu dissi ca partunu 'nsemula e 'u vulissi avvisari.... 'U sapi, vossia, unn'è?",sicilian,'a vilanza/Atto II
"Pi daveru, cucina? (_la guarda negli occhi profondamente, con sardonica (_lo guarda stupita, sorpresa tra il riso e la meraviglia_)--Cui, Vah, chi vi nisceru 'i sensi?....",sicilian,Cappiddazzu paga tuttu/Atto I
Li 'mposti di lu barcuni su' chiusi.,sicilian,Centona/Vanni Lupu
"V' 'u scurdastivu c'arriva Paulinu? (_a Brasi, sorridendo e fregandosi le mani_) Vo' grapi!",sicilian,Cappiddazzu paga tuttu/Atto II
"Vi dissi ca semu d'accordu ca nesci p'aggiustari tuttu--tuttu, mi capiti?--ma comu Cappiddazzu!",sicilian,Cappiddazzu paga tuttu/Atto III
Non mi fari vergugnari e avviliri chiù di quantu sugnu virgugnatu e avvilitu!,sicilian,'a vilanza/Atto II
Unni cci su' li petri nivuri!,sicilian,Cappiddazzu paga tuttu/Atto III
"Ma ppi cu' m'aviti pigghiatu, a mia?",sicilian,'a vilanza/Atto II
"Sicuru, mi tradisti, e pri chiù dannu mi fai tanti sdilleggi e scattacori!",sicilian,Centona/La 'atta
Megghiu picca chianciri ca assai trivuliari.,sicilian,tatoeba:scn
"Si, mentri iu era ddà...",sicilian,Cappiddazzu paga tuttu/Atto I
"A idda cci arresta 'a curnici, e iu mi pigghiu 'u ritrattu! Nni mia ha a scurari stasira, 'nt' 'a so' casa!",sicilian,Cappiddazzu paga tuttu/Atto II
Giustu chi... chiddu ca dici 'u curaturi?...,sicilian,'a vilanza/Atto I
Stanza da lavoro del perito agrimensore Saru Mazza.,sicilian,'a vilanza/Atto II
"Sicchì, chiamatu sutta l'armi, fu rinitenti, e circatu di la forza si ci opposi, la martrattò, e si desi a la campagna.",sicilian,Centona/Vanni Lupu
"... (incrocia le braccia e attende, con suprema aria di sfida. - Anna si avvia alla comune).",sicilian,'a vilanza/Atto III
"Vah, quantu vaiu pi 'ssa casa....",sicilian,Cappiddazzu paga tuttu/Atto I
"28 anni; magro, pallido, stremenzito; senza mezzi e senza risorse, con nascosti eroici sacrifizii, simula una eleganza ridicola, che tradisce pur non di meno la miseria.",sicilian,Cappiddazzu paga tuttu/Personaggi
"Comu la rosa quannu è spampinata jetta li fogghi e nuddu li talìa, 'ccussì jttavi la me' puisia, senza cumpensu, pri 'ssa strata strata!...",sicilian,Centona/Fimmini beddi
"Ccu tuttu ca siti 'n'apa di meli, 'na pampina di paradisu, arrivannu dintra, e truvannuli 'nsemi, vui, chi facissivu?... Macari ca non fussivu 'ntinziunata, niscissivu 'u revolviri e tirassivu o' toccu, a cu' casca casca!",sicilian,'a vilanza/Atto II
"D'inverno e di sera nel primo atto - d'inverno e di giorno, nel secondo e nel terzo.",sicilian,Scuru/Atto I
"Lu dannu, si l'haiu fattu all'autri, prima di tuttu e cchiù di tuttu l'haiu fattu a mia!",sicilian,Cappiddazzu paga tuttu/Atto II
